ID,Title,Author,Genre,PublishDateOriginal,PublishDate,Publisher,Format,Illustrator,TotalPages,Rating,Status,MSRP ,SpecialEdition,ISBN
,Bluford High Series #12: Shattered,Paul Langan ,Young Adult/Teen Fiction,"June 1st, 2006",2006-06-01,Townsend Press,Paperback,N/A,123,N/A,Need To Reread,$4.95 ,No,978-1-59194-069-2
,Bluford High Series #13: Search for Safety ,John Langan,Young Adult/Teen Fiction,"June 15th, 2006",2006-06-15,Townsend Press,Paperback,N/A,128,N/A,Need To Reread,$4.95 ,No,978-1-59194-070-8
,Bluford High Series #14: No Way Out,Peggy Kern,Young Adult/Teen Fiction,"September 22nd, 2008",2008-09-22,Townsend Press,Paperback,N/A,140,N/A,Need To Reread,$4.95 ,No,978-1-59194-176-8
,Bluford High Series #15: Schooled,Paul Langan,Young Adult/Teen Fiction,"September 21st, 2008",2008-09-21,Townsend Press,Paperback,N/A,140,N/A,Need To Reread,$4.95 ,No,978-1-59194-177-6
,Bluford High Series #16: Breaking Point,Karyn Langhorne Folan & Paul Langan,Young Adult/Teen Fiction,"December 15th, 2010",2010-12-15,Townsend Press,Paperback,N/A,150,N/A,Need To Reread,$4.95 ,No,978-1-59194-232-2
,Bluford High Series #17: The Test,Peggy Kern,Young Adult/Teen Fiction,"January 1st, 2010",2010-01-01,Townsend Press,Paperback,N/A,139,N/A,Need To Reread,$4.95 ,No,978-1-59194-234-4
,Bluford High Series #18: Pretty Ugly ,Karyn Langhorne Folan  ,Young Adult/Teen Fiction,"December 14th, 2010",2010-12-14,Townsend Press,Paperback,N/A,171,N/A,Need To Reread,$4.95 ,No,978-1-59194-233-7
,Bluford High Series #19: Promises To Keep ,Paul Langan,Young Adult/Teen Fiction,"December 31st, 2013",2013-12-31,Townsend Press,Paperback,N/A,151,N/A,Need To Reread,$5.95 ,No,978-1-59194-303-7
,Bluford High Series #20: Survivor ,Paul Langan ,Young Adult/Teen Fiction,"January 1st, 2013",2013-01-01,Townsend Press,Paperback,N/A,138,N/A,Need To Reread,$5.95 ,No,978-1-59194-304-4
,Bluford High Series #21: Girl Like Me,Tanya Savory ,Young Adult/Teen Fiction,"November 16th, 2015 ",2015-11-16,Townsend Press,Paperback,N/A,129,N/A,Need To Reread,$5.95 ,No,978-1-59194-470-8
,Bluford High Series #22: The Chosen ,Karyn Langhorne Folan & Paul Langan,Young Adult/Teen Fiction,"August 31st, 2020",2020-08-31,Townsend Press,Paperback,N/A,147,N/A,Need To Reread,$5.95 ,No,978-1-59194-576-5
,Avatar The Last Airbender: The Rise of Kyoshi ,F.C. Yee & Michael Dante DiMartino,Fantasy,"July 16th, 2019 ",2019-07-16,Amulet Books,Hardcover,N/A,442,N/A,No,$18.99 ,No,978-1-4197-3504-2
,Avatar The Last Airbender: The Shadow of Kyoshi,F.C. Yee & Michael Dante DiMartino,Fantasy,"July 21st, 2020",2020-07-21,Amulet Books,Hardcover,N/A,341,N/A,No,$18.99 ,No,978-1-4197-3505-9
,Avatar The Last Airbender - The Lost Scrolls: Water,Michael Teitelbaum ,Fantasy ,"January 1st, 2007 ",2007-01-01,Scholastic ,Paperback,Patrick Spaziante,64,3.0/5,Yes,$4.99 ,No,978-0-439-87011-5
,Avatar The Last Airbender - The Lost Scrolls: Earth,Michael Teitelbaum ,Fantasy,"January 23rd, 2007 ",2007-01-23,Simon Spotlight/Nickelodeon,Paperback,Shane L. Johnson,64,3.0/5,Yes,$4.99 ,No,978-1-4169-1877-6
,Avatar The Last Airbender - The Lost Scrolls: Fire,Tom Mason & Dan Danko ,Fantasy,"January 1st, 2007 ",2007-01-01,Simon Spotlight/Nickelodeon,Paperback,Patrick Spaziante,64,3.0/5,Yes,$4.99 ,No,978-0-439-87012-2
,Avatar The Last Airbender - The Lost Scrolls: Air,Tom Mason & Dan Danko ,Fantasy,"January 23rd, 2007 ",2007-01-23,Scholastic ,Paperback,Shane L. Johnson ,64,3.0/5,Yes,$4.99 ,No,978-1-4169-1879-0
,Avatar The Last Airbender: Smoke And Shadow,Bryan Konietzko & Michael Dante DiMartino ,Graphic Novel,"October 5th, 2021",2021-10-05,Dark Horse Books,Paperback,Gurihiru,232,N/A,No,$24.99 ,Omnibus,978-1-50672-168-2
,"Avatar The Last Airbender: Suki, Alone",Faith Erin Hicks,Graphic Novel,"July 27th, 2021 ",2021-07-27,Dark Horse Books,Paperback,Peter Wartman & Adele Matera,76,N/A,No,$12.99 ,No,978-1-50671-713-5
,Avatar The Last Airbender: Toph Beifong's Metalbending Academy,Faith Erin Hicks,Graphic Novel,"February 16th, 2021",2021-02-16,Dark Horse Books,Paperback,Peter Wartman & Adele Matera,77,N/A,No,$12.99 ,No,978-1-50671-712-8
,Avatar The Last Airbender: Katara and the Pirate's Silver,Faith Erin Hicks,Graphic Novel,"October 13th, 2020",2020-10-13,Dark Horse Books,Paperback,Peter Wartman & Adele Matera,77,N/A,No,$12.99 ,No,978-1-50671-711-1
,The Legend of Korra: Turf Wars,Bryan Konietzko & Michael Dante DiMartino ,Graphic Novel,"March 26th, 2019 ",2019-03-26,Dark Horse Books,Hardcover,Irene Koh & Vivian Ng,239,N/A,No,$39.99 ,Library Edition,978-1-50670-202-5
,The Legend of Korra: Ruins of the Empire,Bryan Konietzko & Michael Dante DiMartino ,Graphic Novel,"September 29th, 2020",2020-09-29,Dark Horse Books,Hardcover,Michelle & Killian Ng ,239,N/A,No,$39.99 ,Library Edition,978-1-50670-893-5
,Avatar The Last Airbender: North And South,Bryan Konietzko & Michael Dante DiMartino & Gene Luen Yang ,Graphic Novel,"November 7th, 2017",2017-11-07,Dark Horse Books,Hardcover,Gurihiru,236,N/A,No,$39.99 ,Library Edition ,978-1-50670-195-0
,Avatar The Last Airbender: Imbalance,Bryan Konietzko & Michael Dante DiMartino & Faith Erin Hicks,Graphic Novel,"June 16th, 2020",2020-06-16,Dark Horse Books,Hardcover,Peter Wartman & Adele Matera,236,N/A,No,$39.99 ,Library Edition ,978-1-50670-812-6
,Avatar The Last Airbender: The Lost Adventures | Team Avatar Tales,Gene Luen Yang & Faith Erin Hicks ,Graphic Novel,"November 10th, 2020 ",2020-11-10,Dark Horse Books,Hardcover,Sarah Goetter & Gurihiru ,309,N/A,No,$39.99 ,Library Edition ,978-1-50672-274-0
,Avatar The Last Airbender: The Search,Bryan Konietzko & Michael Dante DiMartino & Gene Luen Yang ,Graphic Novel,"February 18th, 2014",2014-02-18,Dark Horse Books,Hardcover,Gurihiru,238,N/A,No,$39.99 ,Hardcover Collection,978-1-61655-226-8
,Avatar The Last Airbender: The Promise,Bryan Konietzko & Michael Dante DiMartino & Gene Luen Yang,Graphic Novel,"February 19th, 2013 ",2013-02-19,Dark Horse Books,Hardcover,Gurihiru,238,N/A,No,$39.99 ,Hardcover Collection,978-1-61655-074-5
,Avatar The Last Airbender: The Rift ,Bryan Konietzko & Michael Dante DiMartino & Gene Luen Yang,Graphic Novel,"February 11th, 2015",2015-02-11,Dark Horse Books,Hardcover,Gurihiru,238,N/A,No,$39.99 ,Hardcover Collection,978-1-61655-550-4
,Fantastic Beasts & Where to Find Them ,J.K. Rowling ,Fantasy ,"March 14th, 2017 ",2017-03-14,Scholastic ,Paperback ,N/A,88,N/A,No,$12.99 ,No,978-1-338-13231-1
,The Unofficial Harry Potter Character Compendium: MuggleNet's Ultimate Guide To Who's Who In The Wizarding World ,The Editors of MuggleNet,Compendium,"June 23rd, 2020 ",2020-06-23,Media Lab Books,Hardcover,N/A,334,N/A,No,$16.99 ,No,978-1-948174-44-2
,Harry Potter and the Chamber of Secrets,J.K. Rowling ,Fantasy,"September 1st, 2000",2000-09-01,Scholastic ,Paperback,N/A,341,3.0/5,Yes,$6.99 ,No,0-439-06487-2
,Harry Potter and the Chamber of Secrets,J.K. Rowling ,Fantasy ,"August 27th, 2013 ",2013-08-27,Scholastic ,Hardcover,N/A,341,3.0/5,Yes,$8.99 ,No,978-0-329-97856-9
,Harry Potter and the Deathly Hallows,J.K. Rowling ,Fantasy,"August 1st, 2007 ",2007-08-01,Scholastic ,Hardcover,N/A,759,5.0/5,Yes,$34.99 ,No,978-0-545-01022-1
,Harry Potter and the Half-Blood Prince ,J.K. Rowling,Fantasy,"August 1st, 2005",2005-08-01,Scholastic ,Hardcover,N/A,652,4.8/5,Yes,$29.99 ,No,978-0-439-78454-2
,Harry Potter and the Half-Blood Prince ,J.K. Rowling,Fantasy,"August 1st, 2005",2005-08-01,Scholastic ,Hardcover,N/A,652,4.8/5,Yes,$29.99 ,No,978-0-439-78454-2
,Harry Potter and the Sorcerer's  Stone,J.K. Rowling,Fantasy,"October 1st, 1998",1998-10-01,Scholastic ,Hardcover,N/A,309,3.75/5,Yes,$26.99 ,No,978-0-590-35340-3
,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,"July 1st, 1999",1999-07-01,Scholastic ,Hardcover,N/A,341,3.0/5,Yes,$26.99 ,No,978-0-439-06486-6
,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy,"October 1st, 1999",1999-10-01,Scholastic ,Hardcover,N/A,435,4.15/5,Yes,$19.95 ,No,0-439-13635-0
,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy,"August 1st, 2000",2000-08-01,Scholastic,Hardcover,N/A,734,3.25/5,Yes,$29.99 ,No,978-0-439-13959-5
,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy,"July 1st, 2003 ",2003-07-01,Scholastic,Hardcover,N/A,870,4.0/5,Yes,$29.99 ,No,978-0-439-35806-4
,Harry Potter and the Half-Blood Prince ,J.K. Rowling,Fantasy,"August 1st, 2005",2005-08-01,Scholastic,Hardcover,N/A,652,4.8/5,Yes,$29.99 ,No,978-0-439-78454-2
,Harry Potter and the Deathly Hallows,J.K. Rowling,Fantasy,"August 1st, 2007 ",2007-08-01,Scholastic,Hardcover,N/A,759,5.0/5,Yes,$34.99 ,No,978-0-545-01022-1
,The Heroes of Olympus: The Son of Neptune ,Rick Riordan,Graphic Novel,"February 21st, 2017",2017-02-21,Disney-Hyperion,Paperback,Robert Venditti & Antoine Dodé & Orpheus Collar,192,4.0/5,Yes,$12.99 ,No,978-148472303-6
,The Heroes of Olympus: The Lost Hero,Rick Riordan,Graphic Novel,"October 7th, 2014",2014-10-07,Disney-Hyperion,Paperback,Robert Venditti & Nate Powell & Orpheus Collar,192,3.5/5,Yes,$12.99 ,No,978-142316325-1
,The Kane Chronicles: The Serpent's Shadow,Rick Riordan,Graphic Novel,"October 3rd, 2017",2017-10-03,Disney-Hyperion,Paperback,Orpheus Collar ,160,4.5/5,Yes,$12.99 ,No,978-148478234-7
,The Kane Chronicles: The Throne of Fire,Rick Riordan,Graphic Novel,"October 6th, 2015",2015-10-06,Disney-Hyperion,Paperback,Orpheus Collar ,160,3.75/5,Yes,$12.99 ,No,978-148471493-5
,The Kane Chronicles: The Red Pyramid,Rick Riordan,Graphic Novel,"October 2nd, 2012",2012-10-02,Disney-Hyperion,Paperback,Orpheus Collar ,192,4.25/5,Yes,$12.99 ,No,978-142315069-5
,Percy Jackson & The Olympians: The Last Olympian,Rick Riordan,Graphic Novel,"August 13th, 2019",2019-08-13,Disney-Hyperion,Paperback,Robert Venditti & Antoine Dodé & Orpheus Collar,128,4.0/5,Yes,$12.99 ,No,978-148478638-3
,Percy Jackson & The Olympians: The Battle of the Labyrinth,Rick Riordan,Graphic Novel,"October 2nd, 2018",2018-10-02,Disney-Hyperion,Paperback,Robert Venditti & Antoine Dodé & Orpheus Collar,128,3.75/5,Yes,$12.99 ,No,978-148-478639-0
,Percy Jackson & The Olympians: The Titan's Curse,Rick Riordan,Graphic Novel,"October 8th, 2013",2013-10-08,Disney-Hyperion,Paperback,Robert Venditti & Attila Futaki & Greg Guilahaumond,128,4.0/5,Yes,$12.99 ,No,978-142314551-6
,Percy Jackson & The Olympians: The Sea of Monsters,Rick Riordan,Graphic Novel,"July 2nd, 2013",2013-07-02,Disney-Hyperion,Paperback,Robert Venditti & Attila Futaki & Tamás Gáspár,128,2.85/5,Yes,$12.99 ,No,978-142314550-9
,Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan,Graphic Novel,"October 12th, 2010",2010-10-12,Disney-Hyperion,Paperback,Robert Venditti & Attila Futaki & José Villarrubia,128,3.25/5,Yes,$12.99 ,No,978-142311710-0
,Percy Jackson & The Olympians: The Last Olympian,Rick Riordan,Fantasy/Adventure,"May 5th, 2009",2009-05-05,Disney-Hyperion,Hardcover,N/A,381,5.0/5,Yes,$17.99 ,First Cover Mass-Printed Hardcover Edition,978-142310147-5
,Percy Jackson & The Olympians: The Battle of the Labyrinth,Rick Riordan,Fantasy/Adventure,"May 6th, 2008",2008-05-06,Disney-Hyperion,Hardcover,N/A,361,4.75/5,Yes,$17.99 ,First Cover Mass-Printed Hardcover Edition,978-142310146-8
,Percy Jackson & The Olympians: The Titan's Curse,Rick Riordan,Fantasy/Adventure,"May 1st, 2007",2007-05-01,Miramax Books,Hardcover,N/A,312,5.0/5,Yes,$17.95 ,First Cover Mass-Printed Hardcover Edition,978-142310145-1
,Percy Jackson & The Olympians: The Sea of Monsters,Rick Riordan,Fantasy/Adventure,"April 1st, 2007",2007-04-01,Miramax Books,Hardcover,N/A,279,3.5/5,Yes,$17.95 ,First Cover Mass-Printed Hardcover Edition,078685686-6
,Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan,Fantasy/Adventure,"July 1st, 2005",2005-07-01,Miramax,Hardcover,N/A,377,4.0/5,Yes,$17.95 ,First Cover Mass-Printed Hardcover Edition,978-078685629-9
,Percy Jackson & The Olympians: The Last Olympian,Rick Riordan,Fantasy/Adventure,"May 5th, 2009",2009-05-05,Disney-Hyperion,Paperback,N/A,381,5.0/5,Yes,$7.99 ,First Cover Mass-Printed Paperback Edition,978-142310150-5
,Percy Jackson & The Olympians: The Battle of the Labyrinth,Rick Riordan,Fantasy/Adventure,"May 6th, 2008",2008-05-06,Disney-Hyperion,Paperback,N/A,361,4.75/5,Yes,$7.99 ,First Cover Mass-Printed Paperback Edition,978-142310149-9
,Percy Jackson & The Olympians: The Titan's Curse,Rick Riordan,Fantasy/Adventure,"May 1st, 2007",2007-05-01,Disney-Hyperion,Paperback,N/A,312,5.0/5,Yes,$7.99 ,First Cover Mass-Printed Paperback Edition,978-142310148-2
,Percy Jackson & The Olympians: The Sea of Monsters,Rick Riordan,Fantasy/Adventure,"April 1st, 2007",2007-04-01,Scholastic ,Paperback,N/A,279,3.5/5,Yes,$4.99 ,First Cover Mass-Printed Paperback Edition,978-0-439-02702-1
,Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan,Fantasy/Adventure,"April 1st, 2006",2006-04-01,Disney-Hyperion,Paperback,N/A,377,4.0/5,Yes,$7.99 ,First Cover Mass-Printed Paperback Edition,078682865-5
,The Heroes of Olympus: The Lost Hero,Rick Riordan,Fantasy/Adventure,"October 12th, 2010",2010-10-12,Disney-Hyperion,Hardcover,N/A,553,3.89/5,Yes,$19.99 ,No,978-142311339-3
,The Heroes of Olympus: The Son of Neptune,Rick Riordan,Fantasy/Adventure,"October 4th, 2011",2011-10-04,Disney-Hyperion,Hardcover,N/A,513,4.85/5,Yes,$19.99 ,No,978-14231059-7
,The Heroes of Olympus: The Mark of Athena,Rick Riordan,Fantasy/Adventure,"October 2nd, 2012",2012-10-02,Disney-Hyperion,Hardcover,N/A,574,5.0/5,Yes,$19.99 ,Barnes & Noble Exclusive Edition,978-142314060-3
,The Heroes of Olympus: The House of Hades,Rick Riordan,Fantasy/Adventure,"October 8th, 2013",2013-10-08,Disney-Hyperion,Hardcover,N/A,583,4.95/4,Yes,$19.99 ,No,978-142314672-8
,The Heroes of Olympus: The Blood of Olympus,Rick Riordan,Fantasy/Adventure,"October 7th, 2014",2014-10-07,Disney-Hyperion,Hardcover,N/A,502,4.25/5,Yes,$19.99 ,No,978-142314673-5
,Percy Jackson & The Olympians: The Last Olympian,Rick Riordan,Fantasy/Adventure,"June 4th, 2014",2014-06-04,Disney-Hyperion,Paperback,N/A,381,5.0/5,Yes,$7.99 ,Second Cover Mass-Printed Paperback Edition,978-142310150-5
,Percy Jackson & The Olympians: The Battle of the Labyrinth,Rick Riordan,Fantasy/Adventure,"June 4th, 2014",2014-06-04,Disney-Hyperion,Paperback,N/A,361,4.75/5,Yes,$7.99 ,Second Cover Mass-Printed Paperback Edition,978-142310149-9
,Percy Jackson & The Olympians: The Titan's Curse,Rick Riordan,Fantasy/Adventure,"June 4th, 2014",2014-06-04,Disney-Hyperion,Paperback,N/A,312,5.0/5,Yes,$7.99 ,Second Cover Mass-Printed Paperback Edition,978-142310148-2
,Percy Jackson & The Olympians: The Sea of Monsters,Rick Riordan,Fantasy/Adventure,"June 4th, 2014",2014-06-04,Disney-Hyperion,Paperback,N/A,279,3.5/5,Yes,$7.99 ,Second Cover Mass-Printed Paperback Edition,978-142310334-9
,Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan,Fantasy/Adventure,"June 4th, 2014",2014-06-04,Disney-Hyperion,Paperback,N/A,377,4.0/5,Yes,$7.99 ,Second Cover Mass-Printed Paperback Edition,978-078683865-3
,The Kane Chronicles: The Serpent's Shadow,Rick Riordan,Fantasy/Adventure,"April 3rd, 2018",2018-04-03,Disney-Hyperion,Paperback,N/A,401,5.0/5,Yes,$9.99 ,No,978-136801357-4
,The Kane Chronicles: The Throne of Fire,Rick Riordan,Fantasy/Adventure,"April 3rd, 2018",2018-04-03,Disney-Hyperion,Paperback,N/A,448,4.0/5,Yes,$9.99 ,No,978-136801359-8
,The Kane Chronicles: The Red Pyramid,Rick Riordan,Fantasy/Adventure,"April 3rd, 2018",2018-04-03,Disney-Hyperion,Paperback,N/A,516,4.5/5,Yes,$9.99 ,No,978-136801358-1
,Percy Jackson & The Olympians: The Titan's Curse,Rick Riordan,Fantasy/Adventure,"May 1st, 2007",2007-05-01,Scholastic,Paperback,N/A,312,5.0/5,Yes,$4.99 ,No,978-0-545-07833-7
,Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan,Fantasy/Adventure,"July 1st, 2005",2005-07-01,Scholastic,Paperback,N/A,377,4.0/5,Yes,$4.99 ,No,978-0-439-86130-4
,The Kane Chronicles: The Red Pyramid,Rick Riordan,Fantasy/Adventure,"May 4th, 2010",2010-05-04,Disney-Hyperion,Paperback,N/A,516,4.5/5,Yes,$9.99 ,No,978-142311345-4
,Percy Jackson Demigod Collection,Rick Riordan,Fantasy/Adventure,"September 24th, 2019",2019-09-24,Disney-Hyperion,Paperback,N/A,1392,3.79/5,Yes,$19.99 ,No,978-136805748-6
,Percy Jackson's Greek Heroes,Rick Riordan,Fantasy/Adventure,"August 6th, 2015",2015-08-06,Disney-Hyperion,Hardcover,John Rocco,387,3.5/5,Yes,$24.99 ,No,978-142318365-5
,Percy Jackson's Greek Gods,Rick Riordan,Fantasy/Adventure,"August 7th, 2014",2014-08-07,Disney-Hyperion,Hardcover,John Rocco,318,3.35/5,Yes,$24.99 ,No,978-142318364-8
,The Kane Chronicles: The Red Pyramid,Rick Riordan,Fantasy/Adventure,"May 4th, 2010",2010-05-04,Disney-Hyperion,Hardcover,N/A,516,4.5/5,Yes,$17.99 ,No,978-142311338-6
,The Kane Chronicles: The Throne of Fire,Rick Riordan,Fantasy/Adventure,"May 3rd, 2011",2011-05-03,Disney-Hyperion,Hardcover,N/A,447,4.0/5,Yes,$18.99 ,No,978-142314056-6
,The Kane Chronicles: The Serpent's Shadow,Rick Riordan,Fantasy/Adventure,"May 1st, 2012",2012-05-01,Disney-Hyperion,Hardcover,N/A,401,5.0/5,Yes,$19.99 ,No,978-142314057-3
,Magnus Chase and the Gods of Asgard: The Sword of Summer,Rick Riordan,Fantasy/Adventure,"October 6th, 2015",2015-10-06,Disney-Hyperion,Hardcover,N/A,491,3.5/5,Yes,$19.99 ,No,978-142316091-5
,Magnus Chase and the Gods of Asgard: The Hammer of Thor,Rick Riordan,Fantasy/Adventure,"October 4th, 2016",2016-10-04,Disney-Hyperion,Hardcover,N/A,459,3.0/5,Yes,$19.99 ,Barnes & Noble Exclusive Edition,978-136800030-7
,Magnus Chase and the Gods of Asgard: The Ship of The Dead ,Rick Riordan,Fantasy/Adventure,"October 3rd, 2017",2017-10-03,Disney-Hyperion,Hardcover,N/A,410,4.5/5,Yes,$19.99 ,Barnes & Noble Exclusive Edition,978-136802150-0
,The Trials of Apollo: The Hidden Oracle,Rick Riordan,Fantasy/Adventure,"May 3rd, 2016",2016-05-03,Disney-Hyperion,Hardcover,N/A,361,3.35/5,Yes,$19.99 ,No,978-148473274-8
,The Trials of Apollo: The Dark Prophecy,Rick Riordan,Fantasy/Adventure,"April 28th, 2017",2017-04-28,Disney-Hyperion,Hardcover,N/A,401,3.5/5,Yes,$19.99 ,Barnes & Noble Exclusive Edition,978-136800955-3
,The Trials of Apollo: The Burning Maze,Rick Riordan,Fantasy/Adventure,"May 1st, 2018",2018-05-01,Disney-Hyperion,Hardcover,N/A,419,3.15/5,Yes,$19.99 ,No,978-148474643-1
,The Trials of Apollo: The Tyrant's Tomb,Rick Riordan,Fantasy/Adventure,"September 24th, 2019",2019-09-24,Disney-Hyperion,Hardcover,N/A,423,4.45/5,Yes,$19.99 ,No,978-148474644-8
,The Trials of Apollo: The Tower of Nero ,Rick Riordan,Fantasy/Adventure,"October 6th, 2020",2020-10-06,Disney-Hyperion,Hardcover,N/A,396,4.0/5,Yes,$19.99 ,Barnes & Noble Exclusive Edition,978-136806538-2
,Demigods & Magicians: Percy and Annabeth Meet the Kanes,Rick Riordan,Fantasy/Adventure,"April 5th, 2016",2016-04-05,Disney-Hyperion,Hardcover,N/A,187,4.35/5,Yes,$14.99 ,No,978-148473278-6
,The Demigod Diaries,Rick Riordan,Fantasy/Adventure,"August 14th, 2012",2012-08-14,Disney-Hyperion,Hardcover,N/A,242,3.85/5,Yes,$12.99 ,No,978-142316300-8
,Percy Jackson & The Olympians: The Demigod Files,Rick Riordan,Fantasy/Adventure,"February 10th, 2009 ",2009-02-10,Disney-Hyperion,Hardcover,N/A,151,3.95/5,Yes,$12.99 ,No,978-142312166-4
,From Percy Jackson: Camp Half-Blood Confidential: Your Real Guide to the Demigod Training Camp,Rick Riordan,Fantasy/Adventure,"May 2nd, 2017 ",2017-05-02,Disney-Hyperion,Hardcover,N/A,146,3.5/5,Yes,$9.99 ,No,978-1484784555-3
,Camp Jupiter Classified: A Probatio's Journal,Rick Riordan,Fantasy/Adventure,"May 5th, 2020",2020-05-05,Disney-Hyperion,Hardcover,N/A,134,N/A,No,$10.99 ,No,978-136802405-1
,"For Magnus Chase: Hotel Valhalla Guide to the Norse Worlds: Your Introduction to Deities, Mythical Beings & Fantastic Creatures",Rick Riordan,Fantasy/Adventure,"August 16th, 2016",2016-08-16,Disney-Hyperion,Hardcover,N/A,148,N/A,No,$9.99 ,No,978-148478554-6
,"From the Kane Chronicles: Brooklyn House Magician's Manual: Your Guide to Egyptian Gods & Creatures, Glyphs & Spells, and More",Rick Riordan,Fantasy/Adventure,"May 1st, 2018",2018-05-01,Disney-Hyperion,Hardcover,N/A,180,N/A,No,$9.99 ,No,978-1484-78553-9
,Magnus Chase and the Gods of Asgard: 9 from the Nine Worlds,Rick Riordan,Fantasy/Adventure,"October 2nd, 2018",2018-10-02,Disney-Hyperion,Hardcover,N/A,151,N/A,No,$12.99 ,No,978-136802404-4
,The Kane Chronicles Survival Guide,Rick Riordan,Fantasy/Adventure,"March 20th, 2012",2012-03-20,Disney-Hyperion,Hardcover,John Rocco,144,3.0/5,Yes,$12.99 ,No,978-142315362-7
,Percy Jackson & The Olympians: The Ultimate Guide,Rick Riordan,Fantasy/Adventure,"January 18th, 2010",2010-01-18,Disney-Hyperion,Hardcover,John Rocco,156,3.0/5,Yes,$12.99 ,No,978-142312171-8
,Percy Jackson & The Olympians: The Ultimate Guide,Rick Riordan,Fantasy/Adventure,"January 18th, 2010",2010-01-18,Disney-Hyperion,Hardcover,John Rocco,156,3.0/5,Yes,$12.99 ,No,978-142312171-8
,My Hero Academia Vol. 1,Kohei Horikoshi,Shonen,"August 4th, 2015",2015-08-04,Viz Media LLC,Paperback,Kohei Horikoshi,189,4.5/5,Yes,$9.99 ,No,978-1-4215-8269-6
,My Hero Academia Vol. 2,Kohei Horikoshi,Shonen,"November 3rd, 2015",2015-11-03,Viz Media LLC,Paperback,Kohei Horikoshi,207,4.0/5,Yes,$9.99 ,No,978-1-4215-8270-2
,My Hero Academia Vol. 3,Kohei Horikoshi,Shonen,"February 2nd, 2016",2016-02-02,Viz Media LLC,Paperback,Kohei Horikoshi,191,4.3/5,Yes,$9.99 ,No,978-1-4215-8510-9
,My Hero Academia Vol. 4,Kohei Horikoshi,Shonen,"May 3rd, 2016",2016-05-03,Viz Media LLC,Paperback,Kohei Horikoshi,189,3.75/5,Yes,$9.99 ,No,978-1-4215-8511-6
,My Hero Academia Vol. 5,Kohei Horikoshi,Shonen,"August 2nd, 2016 ",2016-08-02,Viz Media LLC,Paperback,Kohei Horikoshi,189,5.0/5,Yes,$9.99 ,No,978-1-4215-8702-8
,My Hero Academia Vol. 6,Kohei Horikoshi,Shonen,"November 1st, 2016",2016-11-01,Viz Media LLC,Paperback,Kohei Horikoshi,189,4.75/5,Yes,$9.99 ,No,978-1-4215-8866-7
,My Hero Academia Vol. 7,Kohei Horikoshi,Shonen,"February 7th, 2017",2017-02-07,Viz Media LLC,Paperback,Kohei Horikoshi,191,4.5/5,Yes,$9.99 ,No,978-1-4215-9040-0
,My Hero Academia Vol. 8,Kohei Horikoshi,Shonen,"May 2nd, 2017 ",2017-05-02,Viz Media LLC,Paperback,Kohei Horikoshi,187,3.75/5,Yes,$9.99 ,No,978-1-4215
,My Hero Academia Vol. 9,Kohei Horikoshi,Shonen,"August 1st, 2017",2017-08-01,Viz Media LLC,Paperback,Kohei Horikoshi,191,4.5/5,Yes,$9.99 ,No,978-1-4215-9340-1
,My Hero Academia Vol. 10,Kohei Horikoshi,Shonen,"November 7th, 2017",2017-11-07,Viz Media LLC,Paperback,Kohei Horikoshi,191,4.25/5,Yes,$9.99 ,No,978-1-4215-9437-8
,Grimm: Below The Surface : The Insider's Guide To The Show,Titan Books,Companion Book,"March 11th, 2014",2014-03-11,Titan Books,Paperback,N/A,176,N/A,No,$16.99 ,No,9.78E+12
,Grimm: Omnibus Vol. 1,Marc Gaffen & Kyle McVey & David Greenwalt & Jim Kouf & Jai Nitz ,Fantasy Comics,"October 18th, 2016",2016-10-18,Dynamite Entertainment,Paperback,Jose Malaga & Rod Rodolfo & Daniel Govar,496,N/A,No,$39.99 ,No,978-1-5241-0076-6
,Anatomy For The Artist: A Complete Guide To Drawing The Human Body,Jennifer Crouch,Art Book,"June 15th, 2022",2022-06-15,Sirius,Paperback,Jennifer Crouch,255,3.5/5,Yes,$19.99 ,No,978-1-3988-9032-9
,Encyclopedia of Space,Miles Kelly,Encyclopedia,"November 17th, 2017",2017-11-17,Miles Kelly,Hardcover,N/A,512,N/A,No,$15.00 ,No,978-1-78617-377-5
,Watchmen Deluxe Edition,Alan Moore,Superhero,"June 4th, 2013",2013-06-04,DC Comics,Hardcover,Alan Moore,414,N/A,No,$39.99 ,No,978-1-4012-3896-4 
,The Hubble Cosmos: 25 Years of New Vistas in Space,David H. Devorkin & Robert W. Smith,Space/Educational,"October 6th, 2015",2015-10-06,National Geographic,Hardcover,N/A,224,N/A,No,$50.00 ,No,978-1-4262-1557-5
,"Marvel Encyclopedia: New Edition, With an Introduction by Stan Lee",Stephen Wiacek & DK & Stan Lee & Adam Bray,Encyclopedia,"April 2nd, 2019",2019-04-02,DK,Hardcover,N/A,447,N/A,No,$40.00 ,No,978-1-4654-7890-0
