ID,Title,Author,Genre,PublishDateOriginal,PublishDate,Publisher,Format,Illustrator,TotalPages,Rating,Status,MSRP ,SpecialEdition,ISBN
,Percy Jackson & The Olympians: The Sea of Monsters,Rick Riordan,Fantasy/Adventure,"May 3rd, 2022",2022-05-03,Disney-Hyperion,Paperback ,N/A,279,3.5/5,Yes,$8.99 ,3rd Rendition of the Covers,978-1-368-05149-1
,Percy Jackson & The Olympians: The Titan's Curse,Rick Riordan,Fantasy/Adventure,"May 3rd, 2022",2022-05-03,Disney-Hyperion,Paperback ,N/A,312,5.0/5,Yes,$8.99 ,3rd Rendition of the Covers,978-1-368-05148-4
,Percy Jackson & The Olympians: The Battle of the Labyrinth,Rick Riordan,Fantasy/Adventure,"May 3rd, 2022",2022-05-03,Disney-Hyperion,Paperback ,N/A,361,4.75/5,Yes,$8.99 ,3rd Rendition of the Covers,978-1-368-05146-0
,Percy Jackson & The Olympians: The Last Olympian,Rick Riordan,Fantasy/Adventure,"May 3rd, 2022",2022-05-03,Disney-Hyperion,Paperback ,N/A,381,5.0/5,Yes,$8.99 ,3rd Rendition of the Covers,978-1-368-05145-3
,Free Comic Book Day 2023: Marvel Voices #1,John Jennings,Superhero,"May 6th, 2023",2023-05-06,Marvel,Comic Book,"Paris Alleyne, Eric Arciniega & Many More!",28,N/A,No,$0.00 ,No,N/A
,Free Comic Book Day 2023: Power Rangers: Ranger Academy,Maria Ingrande Mora,Superhero,"May 6th, 2023",2023-05-06,Boom! Studios,Comic Book,"Jo Mi-Gyeong, Fabiana Mascolo",28,N/A,No,$0.00 ,No,N/A
,Dark Web: Ms. Marvel (2022-2023) #1 (of 2) ,Sabir Pirzada,Superhero,"December 21st, 2022",2022-12-21,Marvel,Comic Book,"Francesco Mortarino, Ariana Maher, Dono Sánchez-Almara",24,N/A,No,$3.99 ,No,N/A
,The Flash: The Fastest Man Alive (2006-2007) #7,Danny Bilson & Paul De Meo,Superhero,"December 27th, 2006",2006-12-27,DC Comics,Comic Book,"Art Thibert, Ron Adrian",22,N/A,No,$2.99 ,No,N/A
,"Superman Action Comics Vol.2 #22: Atomic Knights, Part One",Scott Lobdell,Superhero,"July 3rd, 2013",2013-07-03,DC Comics,Comic Book,"Tyler Kirkham, Arif Prianto, Carlos M. Mangual",44,N/A,No,$3.99 ,No,N/A
,Dark Web: Ms. Marvel (2022-2023) #2 (of 2) ,Sabir Pirzada,Superhero,"January 11th, 2023",2023-01-11,Marvel,Comic Book,"Francesco Mortarino, Ariana Maher, Dono Sánchez-Almara",23,N/A,No,$3.99 ,No,N/A
,Doctor Strange: Fall Sunrise (2022-) #1 (of 4),Tradd Moore,Superhero,"November 23rd, 2022",2022-11-23,Marvel,Comic Book,"Tradd Moore, Heather Moore",30,N/A,No,$4.99 ,No,N/A
,Doctor Strange: #1 (LGY #427),Jed MacKay,Superhero,"March 22nd, 2023",2023-03-22,Marvel,Comic Book,"Pasqual Ferry, Hollingsworth, MacDonald, Herring",42,N/A,No,$4.99 ,No,N/A
,X-Men: Before The Fall - Sons Of X (2023) #1,Sumon Spurrier ,Superhero,"May 3rd, 2023",2023-05-03,Marvel,Comic Book,"Phil Noto, Clayton Cowles, Sarah Brunstad",35,N/A,No,$4.99 ,No,N/A
,Warlock Vol 2 #5,Jim Starlin,Superhero,"January 18th, 1983",1983-01-18,Marvel,Comic Book,"Jim Starlin, Tom Orzechowski",48,N/A,No,$2.00 ,No,N/A
,Dragon Ball Vol. 1,Akira Toriyama,Shonen,"March 12th, 2003",2003-03-12,VIZ Media LLC,Paperback ,Akira Toriyama,175,5.0/5,Yes,$9.99 ,No,978-1-56931-920-8
,Dragon Ball Vol. 2,Akira Toriyama,Shonen,"March 12th, 2003",2003-03-12,VIZ Media LLC,Paperback ,Akira Toriyama,189,4.75/5,Yes,$9.99 ,No,978-1-56931-921-5
,Dragon Ball Vol. 3,Akira Toriyama,Shonen,"March 12th, 2003",2003-03-12,VIZ Media LLC,Paperback ,Akira Toriyama,177,4.9/5,Yes,$9.99 ,No,978-1-56931-922-2
,Dragon Ball Vol. 4,Akira Toriyama,Shonen,"March 12th, 2003",2003-03-12,VIZ Media LLC,Paperback ,Akira Toriyama,183,4.65/5,Yes,$9.99 ,No,978-1-56931-923-9
,Dragon Ball Vol. 5,Akira Toriyama,Shonen,"March 12th, 2003",2003-03-12,VIZ Media LLC,Paperback ,Akira Toriyama,177,4.35/5,Yes,$9.99 ,No,978-1-56931-924-6
,Dragon Ball Vol. 6,Akira Toriyama,Shonen,"March 12th, 2003",2003-03-12,VIZ Media LLC,Paperback ,Akira Toriyama,179,3.75/5,Yes,$9.99 ,No,978-1-56931-925-3
,Dragon Ball Vol. 7,Akira Toriyama,Shonen,"March 12th, 2003",2003-03-12,VIZ Media LLC,Paperback ,Akira Toriyama,179,4.25/5,Yes,$9.99 ,No,978-1-56931-926-0
,Dragon Ball Vol. 8,Akira Toriyama,Shonen,"May 7th, 2003",2003-05-07,VIZ Media LLC,Paperback ,Akira Toriyama,177,4.8/5,Yes,$9.99 ,No,978-1-56931-927-7
,Dragon Ball Vol. 9,Akira Toriyama,Shonen,"May 7th, 2003",2003-05-07,VIZ Media LLC,Paperback ,Akira Toriyama,177,4.5/5,Yes,$9.99 ,No,978-1-56931-928-4
,Dragon Ball Vol. 10,Akira Toriyama,Shonen,"May 7th, 2003",2003-05-07,VIZ Media LLC,Paperback ,Akira Toriyama,181,4.25/5,Yes,$9.99 ,No,978-1-56931-929-1
,Dragon Ball Vol. 11,Akira Toriyama,Shonen,"May 7th, 2003",2003-05-07,VIZ Media LLC,Paperback ,Akira Toriyama,179,4.75/5,Yes,$9.99 ,No,978-1-56931-919-2
,Dragon Ball Vol. 12,Akira Toriyama,Shonen,"September 3rd, 2003",2003-09-03,VIZ Media LLC,Paperback ,Akira Toriyama,179,4.85/5,Yes,$9.99 ,No,978-1-59116-155-4
,Dragon Ball Vol. 13,Akira Toriyama,Shonen,"November 19th, 2003",2003-11-19,VIZ Media LLC,Paperback ,Akira Toriyama,179,5.0/5,Yes,$9.99 ,No,978-1-59116-148-6
,Dragon Ball Vol. 14,Akira Toriyama,Shonen,"February 18th, 2004",2004-02-18,VIZ Media LLC,Paperback ,Akira Toriyama,177,4.0/5,Yes,$9.99 ,No,978-1-59116-169-1
,Dragon Ball Vol. 15,Akira Toriyama,Shonen,"May 19th, 2004",2004-05-19,VIZ Media LLC,Paperback ,Akira Toriyama,177,5.0/5,Yes,$9.99 ,No,978-1-59116-297-1
,Dragon Ball Vol. 16,Akira Toriyama,Shonen,"August 3rd, 2004",2004-08-03,VIZ Media LLC,Paperback ,Akira Toriyama,205,5.0/5,Yes,$9.99 ,No,978-1-59116-457-9
,Dragon Ball Z Vol. 1,Akira Toriyama,Shonen,"March 12th, 2003",2003-03-12,VIZ Media LLC,Paperback,Akira Toriyama,147,4.0/5,Yes,$9.99 ,No,978-1-56931-930-7
,Dragon Ball Z Vol. 2,Akira Toriyama,Shonen,"March 12th, 2003",2003-03-12,VIZ Media LLC,Paperback,Akira Toriyama,175,4.5/5,Yes,$9.99 ,No,978-1-56931-931-4
,Dragon Ball Z Vol. 3,Akira Toriyama,Shonen,"March 12th, 2003",2003-03-12,VIZ Media LLC,Paperback,Akira Toriyama,175,4.75/5,Yes,$9.99 ,No,978-1-56931-932-1
,Dragon Ball Z Vol. 4,Akira Toriyama,Shonen,"March 12th, 2003",2003-03-12,VIZ Media LLC,Paperback,Akira Toriyama,175,4.85/5,Yes,$9.99 ,No,978-1-56931-933-8
,Dragon Ball Z Vol. 5,Akira Toriyama,Shonen,"March 12th, 2003",2003-03-12,VIZ Media LLC,Paperback,Akira Toriyama,177,4.8/5,Yes,$9.99 ,No,978-1-56931-934-5
,Dragon Ball Z Vol. 6,Akira Toriyama,Shonen,"March 12th, 2003",2003-03-12,VIZ Media LLC,Paperback,Akira Toriyama,175,4.5/5,Yes,$9.99 ,No,978-1-56931-935-2
,Dragon Ball Z Vol. 7,Akira Toriyama,Shonen,"March 12th, 2003",2003-03-12,VIZ Media LLC,Paperback,Akira Toriyama,177,4.4/5,Yes,$9.99 ,No,978-1-56931-936-9
,Dragon Ball Z Vol. 8,Akira Toriyama,Shonen,"May 7th, 2003",2003-05-07,VIZ Media LLC,Paperback,Akira Toriyama,179,4.8/5,Yes,$9.99 ,No,978-1-56931-937-6
,Dragon Ball Z Vol. 9,Akira Toriyama,Shonen,"May 7th, 2003",2003-05-07,VIZ Media LLC,Paperback,Akira Toriyama,187,4.5/5,Yes,$9.99 ,No,978-1-56931-938-3
,Dragon Ball Z Vol. 10,Akira Toriyama,Shonen,"May 7th, 2003",2003-05-07,VIZ Media LLC,Paperback,Akira Toriyama,185,4.9/5,Yes,$9.99 ,No,978-1-56931-939-0
,Dragon Ball Z Vol. 11,Akira Toriyama,Shonen,"May 7th, 2003",2003-05-07,VIZ Media LLC,Paperback,Akira Toriyama,187,5.0/5,Yes,$9.99 ,No,978-1-56931-807-2
,Dragon Ball Z Vol. 12,Akira Toriyama,Shonen,"August 6th, 2003",2003-08-06,VIZ Media LLC,Paperback,Akira Toriyama,181,5.0/5,Yes,$9.99 ,No,978-1-56931-985-7
,Dragon Ball Z Vol. 13,Akira Toriyama,Shonen,"October 8th, 2003",2003-10-08,VIZ Media LLC,Paperback,Akira Toriyama,183,4.5/5,Yes,$9.99 ,No,978-1-56931-986-4
,Dragon Ball Z Vol. 14,Akira Toriyama,Shonen,"December 31st, 2003",2003-12-31,VIZ Media LLC,Paperback,Akira Toriyama,183,4.3/5,Yes,$9.99 ,No,978-1-59116-180-6
,Dragon Ball Z Vol. 15,Akira Toriyama,Shonen,"April 14th, 2004",2004-04-14,VIZ Media LLC,Paperback,Akira Toriyama,183,4.5/5,Yes,$9.99 ,No,978-1-59116-186-8
,Dragon Ball Z Vol. 16,Akira Toriyama,Shonen,"July 14th, 2004",2004-07-14,VIZ Media LLC,Paperback,Akira Toriyama,175,4.8/5,Yes,$9.99 ,No,978-1-59116-328-2
,Dragon Ball Z Vol. 17,Akira Toriyama,Shonen,"October 12th, 2004",2004-10-12,VIZ Media LLC,Paperback,Akira Toriyama,184,4.75/5,Yes,$9.99 ,No,978-1-59116-505-7
